2020,01,01,19649
2020,01,02,22239
2020,01,03,19788
2020,01,04,17172
2020,01,05,13827
2020,01,06,11088
2020,01,08,20329
2020,01,09,13645
2020,01,10,9520
2020,01,11,1796
2020,01,13,7406
2020,01,14,9789
2020,01,15,3494
2020,01,16,10439
2020,01,17,14664
2020,01,18,8595
2020,01,19,19822
2020,01,20,23771
2020,01,21,1370
2020,01,22,4212
2020,01,23,2778
2020,01,24,10728
2020,01,25,1729
2020,01,26,20583
2020,01,27,7720
2020,01,28,19953
2020,01,29,13235
2020,01,30,1699
2020,01,31,14881
2020,02,01,6184
2020,02,02,22843
2020,02,03,12127
2020,02,04,15064
2020,02,05,20223
2020,02,06,11808
2020,02,07,858
2020,02,08,12168
2020,02,09,22232
2020,02,10,6841
2020,02,11,4202
2020,02,12,9858
2020,02,13,2982
2020,02,14,23141
2020,02,15,1032
2020,02,16,19251
2020,02,17,11555
2020,02,18,7850
2020,02,20,9841
2020,02,21,19210
2020,02,22,3243
2020,02,23,12753
2020,02,24,21362
2020,02,25,15365
2020,02,26,12639
2020,02,27,18423
2020,02,28,14488
2020,03,01,14464
2020,03,02,9266
2020,03,03,6007
2020,03,04,15012
2020,03,05,15588
2020,03,06,5729
2020,03,09,19532
2020,03,10,23681
2020,03,11,17521
2020,03,12,20377
2020,03,13,3175
2020,03,14,15297
2020,03,15,23222
2020,03,16,17026
2020,03,17,964
2020,03,18,4261
2020,03,19,18072
2020,03,20,3536
2020,03,21,4372
2020,03,22,17174
2020,03,23,14620
2020,03,24,17352
2020,03,25,4039
2020,03,26,17325
2020,03,27,23353
2020,03,28,22306
2020,03,29,7081
2020,03,30,4466
2020,03,31,17247
2020,04,01,22368
2020,04,02,16614
2020,04,03,17607
2020,04,04,15215
2020,04,05,4024
2020,04,06,19662
2020,04,07,9006
2020,04,08,19506
2020,04,09,11270
2020,04,10,1157
2020,04,11,4650
2020,04,12,5601
2020,04,13,9048
2020,04,14,23734
2020,04,16,17770
2020,04,17,7926
2020,04,18,7494
2020,04,19,9251
2020,04,20,15071
2020,04,21,6372
2020,04,22,15377
2020,04,23,18828
2020,04,24,22787
2020,04,25,7583
2020,04,26,11465
2020,04,27,17786
2020,04,28,10061
2020,04,29,9260
2020,04,30,3381
2020,05,01,16611
2020,05,02,13664
2020,05,03,1247
2020,05,04,22618
2020,05,05,21031
2020,05,06,14230
2020,05,07,7212
2020,05,08,21757
2020,05,09,16430
2020,05,10,7145
2020,05,11,2636
2020,05,12,6108
2020,05,13,9967
2020,05,14,11271
2020,05,15,1536
2020,05,16,19012
2020,05,18,14690
2020,05,19,4504
2020,05,20,22057
2020,05,21,1783
2020,05,22,22663
2020,05,24,23675
2020,05,25,6284
2020,05,26,1109
2020,05,27,5377
2020,05,28,3207
2020,05,29,9506
2020,05,30,6465
2020,05,31,20287
2020,06,01,8525
2020,06,02,20780
2020,06,03,5333
2020,06,04,23486
2020,06,05,9490
2020,06,06,16638
2020,06,07,6749
2020,06,08,14966
2020,06,09,23542
2020,06,10,14832
2020,06,11,22283
2020,06,12,13637
2020,06,13,16927
2020,06,14,23161
2020,06,15,21030
2020,06,16,2896
2020,06,17,13400
2020,06,18,13567
2020,06,19,23409
2020,06,20,21832
2020,06,21,5998
2020,06,22,13828
2020,06,23,14532
2020,06,24,12291
2020,06,25,18458
2020,06,26,23006
2020,06,27,5260
2020,06,28,14687
2020,06,29,10310
2020,06,30,7775
2020,07,01,12235
2020,07,02,5258
2020,07,03,4353
2020,07,04,11406
2020,07,05,10928
2020,07,06,19512
2020,07,07,16025
2020,07,08,21011
2020,07,09,20346
2020,07,10,12463
2020,07,11,23846
2020,07,12,3246
2020,07,13,16661
2020,07,14,23473
2020,07,15,15176
2020,07,16,9325
2020,07,17,23843
2020,07,18,16976
2020,07,19,1144
2020,07,20,14008
2020,07,21,7246
2020,07,22,14271
2020,07,23,23604
2020,07,24,16429
2020,07,26,23952
2020,07,27,6939
2020,07,28,5126
2020,07,29,21963
2020,07,30,21252
2020,07,31,15015
2020,08,01,1375
2020,08,02,13090
2020,08,05,3829
2020,08,06,6698
2020,08,07,23065
2020,08,08,5852
2020,08,09,5939
2020,08,10,5981
2020,08,11,7948
2020,08,12,3485
2020,08,13,20779
2020,08,14,19765
2020,08,15,13314
2020,08,16,20859
2020,08,17,22219
2020,08,18,5974
2020,08,19,4483
2020,08,20,17197
2020,08,21,8083
2020,08,22,3438
2020,08,23,21412
2020,08,24,16957
2020,08,25,16062
2020,08,26,15691
2020,08,27,1646
2020,08,28,7765
2020,08,29,18631
2020,08,30,18261
2020,08,31,16839
2020,09,01,1780
2020,09,02,18738
2020,09,03,13810
2020,09,04,22484
2020,09,05,14104
2020,09,06,19899
2020,09,07,17367
2020,09,08,13915
2020,09,09,1903
2020,09,10,20420
2020,09,12,3324
2020,09,13,13047
2020,09,14,9351
2020,09,15,9145
2020,09,16,16369
2020,09,17,6530
2020,09,18,22403
2020,09,19,18124
2020,09,20,1111
2020,09,21,4482
2020,09,22,21479
2020,09,23,19467
2020,09,24,9873
2020,09,25,10512
2020,09,26,1977
2020,09,27,10782
2020,09,28,10558
2020,09,29,1719
2020,09,30,10674
2020,10,01,10311
2020,10,02,7314
2020,10,03,9276
2020,10,04,9636
2020,10,06,21733
2020,10,07,23095
2020,10,08,14001
2020,10,09,19381
2020,10,10,23829
2020,10,11,16950
2020,10,12,4578
2020,10,13,19886
2020,10,14,23642
2020,10,15,14909
2020,10,16,11617
2020,10,17,4502
2020,10,18,7318
2020,10,19,21068
2020,10,20,7003
2020,10,21,21770
2020,10,22,6468
2020,10,23,18670
2020,10,24,23975
2020,10,25,7440
2020,10,26,8236
2020,10,27,12381
2020,10,29,2046
2020,10,30,16222
2020,10,31,1708
2020,11,01,2558
2020,11,02,5539
2020,11,03,18749
2020,11,04,7426
2020,11,05,8452
2020,11,06,11444
2020,11,07,14562
2020,11,08,5991
2020,11,09,11737
2020,11,10,6454
2020,11,11,18187
2020,11,13,6094
2020,11,14,2666
2020,11,15,11194
2020,11,16,23505
2020,11,17,19169
2020,11,18,17464
2020,11,19,12840
2020,11,20,6615
2020,11,21,22655
2020,11,22,6269
2020,11,23,8874
2020,11,24,9824
2020,11,25,23368
2020,11,26,11591
2020,11,27,10989
2020,11,28,3064
2020,11,29,11686
2020,11,30,19616
2020,12,01,17586
2020,12,02,7114
2020,12,03,8701
2020,12,04,1629
2020,12,05,4794
2020,12,06,18728
2020,12,07,15102
2020,12,08,17229
2020,12,09,21698
2020,12,10,8984
2020,12,11,8998
2020,12,12,9483
2020,12,13,2390
2020,12,14,5473
2020,12,15,1478
2020,12,16,6031
2020,12,17,6993
2020,12,18,13190
2020,12,19,7014
2020,12,20,1686
2020,12,21,10182
2020,12,22,6587
2020,12,23,22350
2020,12,24,4920
2020,12,26,2581
2020,12,27,6464
2020,12,28,19063
2020,12,29,5781
2020,12,30,19155
2020,12,31,19765
2021,01,01,14863
